req_id,room_id,course,start_minute,end_minute,day
135,8,Biology,570,660,Thu
136,7,Literature,700,650,Mon
137,9,Calculus,630,720,Wed
138,4,Programming,510,600,Fri
139,10,History,600,690,Wed
140,6,Chemistry,660,750,Tue
141,1,History,600,690,Wed
142,2,Literature,630,720,Wed
143,5,Economics,660,750,Tue
144,3,Art,540,630,Fri
145,8,Chemistry,570,660,Thu
146,7,Philosophy,570,660,Thu
147,9,Physics,510,600,Mon
148,4,Sociology,540,600,Fri
149,10,Biology,480,540,Mon
150,6,Programming,660,750,Tue
151,1,Mathematics,600,690,Wed
152,2,Physics,630,720,Wed
153,5,Art,660,750,Tue
154,3,History,540,630,Fri
155,8,Programming,570,660,thu
156,7,Economics,570,660,Thu
157,9,Philosophy,510,600,Mon
158,4,Literature,540,600,Fri
159,10,Chemistry,480,540,Mon
160,6,calculus,660,750,tue
161,1,Biology,600,690,Wed
162,2,Philosophy,630,720,Wed
163,13,History,660,750,Tue
164,3,Mathematics,540,630,Fri
165,8,Sociology,570,660,Thu
166,7,Art,570,660,Thu
167,9,Economics,510,600,Mon
168,4,Physics,540,600,Fri
169,10,Programming,480,540,Mon
170,0,Literature,660,750,Tue
171,1,Chemistry,600,690,Wed
172,2,Economics,630,720,Wed
173,5,Mathematics,660,750,Tue
174,3,Biology,540,630,Fri
175,8,Literature,570,660,Thu
176,7,History,570,660,Thu
177,9,Art,510,600,Mon
178,4,Philosophy,540,600,Fri
179,10,Sociology,480,540,Mon
180,6,Physics,660,750,Tue
181,1,Programming,600,690,Wed
182,2,Art,630,720,Wed
183,5,Biology,660,750,Tue
184,3,Chemistry,540,630,Fri
185,8,Physics,570,660,Thu
186,7,Mathematics,570,660,Thu
187,9,History,510,600,Mon
188,4,Economics,540,600,Fri
189,10,Literature,480,540,Mon
190,6,Philosophy,660,750,Tue
191,1,Sociology,600,690,Wed
192,2,History,630,720,Wed
193,5,Chemistry,660,750,Tue
194,3,Programming,540,630,Fri
195,8,Philosophy,570,660,Thu
196,7,Biology,570,660,Thu
197,9,Mathematics,510,600,Mon
198,16,Art,540,600,Fri
199,10,Physics,480,540,Mon
200,6,Economics,660,750,Tue
201,1,Literature,600,690,Wed
202,2,Mathematics,630,720,Wed
203,5,Programming,660,750,Tue
204,3,Sociology,540,630,Fri
205,8,Economics,570,660,Thu
206,7,Chemistry,570,660,Thu
207,9,Biology,510,600,Mon
208,4,History,540,600,Fri
209,10,Philosophy,480,540,Mon
210,6,Art,660,750,Tue
211,1,Calculus,540,630,Mon
212,2,Physics,600,690,Tue
213,5,Chemistry,570,660,Fri
214,3,Literature,480,570,Wed
215,8,History,540,600,Wed
216,7,Mathematics,630,720,Tue
217,9,Art,690,780,Thu
218,4,Programming,660,750,Thu
219,10,Economics,480,540,Fri
220,6,Biology,510,600,Mon
221,1,Philosophy,600,690,Mon
222,2,Sociology,660,750,Tue
223,5,Programming,510,600,Fri
224,3,Physics,540,630,Wed
225,8,History,540,600,Wed
226,7,Biology,-20,600,Tue
227,9,Mathematics,,540,Thu
228,4,Literature,570,660,Thu
229,10,History,600,,Fri
230,6,calculus,630,720,mon
231,1, ART,660,750,Mon
232,2,Philosophy,570,660,tue
233,5,Literature,700,690,Fri
234,3,Sociology,510,600,wed
235,8,Biology,600,690,Wed
236,7,Calculus,540,630,Tue
237,9,Chemistry,660,750,Thu
238,4,Physics,-10,630,Thu
239,10,Mathematics,570,660,Fri
240,6,Programming,720,720,Mon
241,1,History,510,600,Mon
242,2,Art,630,720,Tue
243,5,Sociology,570,660,Fri
244,3,Economics,540,600,Wed
245,88,Programming,540,630,Wed
246,7,Literature,600,690,Tue
247,9,Biology,660,750,Thu
248,4,Philosophy,660,750,Thu
249,10,Chemistry,570,660,Fri
250,11,Physics,480,540,Mon
251,1,Mathematics,510,600,Mon
252,2,History,630,720,Tue
253,5,Philosophy,570,660,Fri
254,3,Art,540,600,Wed
255,8,Literature,540,630,Wed
256,7,Physics,600,690,Tue
257,9,Programming,660,750,Thu
258,4,Economics,660,750,Thu
259,10,calculus,570,660,fri
260,6,Sociology,480,540,Mon
261,1,Biology,510,600,Mon
262,2,Chemistry,630,720,Tue
263,5,Art,570,660,Fri
264,3,Mathematics,540,600,Wed
265,8,Sociology,540,630,Wed
266,7,Philosophy,600,690,Tue
267,9,Physics,660,750,Thu
268,4,History,660,750,Thu
269,10,Literature,570,660,Fri
270,6,Economics,480,540,Mon
271,1,Programming,510,600,Mon
272,2,Calculus,630,720,Tue
273,5,Mathematics,570,660,Fri
274,3,Biology,540,600,Wed
275,8,Economics,540,630,Wed
276,7,Art,600,690,Tue
277,9,Philosophy,660,750,Thu
278,4,Chemistry,660,750,Thu
279,10,Sociology,570,660,Fri
280,6,History,480,540,Mon
281,1,Physics,510,600,Mon
282,2,Literature,630,720,Tue
283,5,Biology,570,660,Fri
284,3,Programming,540,600,Wed
285,8,History,540,630,Wed
286,7,Mathematics,600,690,Tue
287,9,Art,660,750,Thu
288,4,Calculus,660,750,Thu
289,12,Economics,570,660,Fri
290,6,Chemistry,480,540,Mon
291,1,Philosophy,510,600,Mon
292,2,Sociology,630,720,Tue
293,5,Programming,570,660,Fri
294,3,Physics,540,600,Wed
295,8,Chemistry,540,630,Wed
296,7,Biology,600,690,Tue
297,9,Mathematics,660,750,Thu
298,4,Literature,660,750,Thu
299,10,History,570,660,Fri
300,6,Calculus,480,540,Mon
301,1,Art,510,600,Mon
302,2,Economics,630,720,Tue
303,5,Physics,570,660,Fri
304,3,Philosophy,540,600,Wed
305,8,Calculus,540,630,Wed
306,7,Programming,600,690,Tue
307,9,Biology,660,750,Thu
308,4,Sociology,660,750,Thu
309,10,Chemistry,570,660,Fri
310,6,Literature,480,540,Mon
311,1,Calculus,540,630,Mon
312,2,Physics,600,690,Tue
313,5,Chemistry,570,660,Fri
314,3,Literature,480,570,Wed
315,8,History,540,600,Wed
316,7,Mathematics,630,720,Tue
317,9,Art,690,780,Thu
318,4,Programming,660,750,Thu
319,10,Economics,480,540,Fri
320,6,Biology,510,600,Mon
321,1,Philosophy,600,690,Mon
322,2,Sociology,660,750,Tue
323,5,Programming,510,600,Fri
324,3,Physics,540,630,Wed
325,8,History,540,600,Wed
326,7,Biology,-25,600,Tue
327,9,Mathematics,,540,Thu
328,4,Literature,570,660,Thu
329,10,History,600,,Fri
330,6,calculus,630,720,mon
331,1, PHYSICS,660,750,Mon
332,2,Philosophy,570,660,tue
333,5,Programming,720,710,Fri
334,3,Sociology,510,600,wed
335,8,Chemistry,660,750,Wed
336,7,Biology,600,690,Tue
337,9,Mathematics,570,660,Thu
338,4,Literature,-5,630,Thu
339,10,History,510,600,Fri
340,6,Calculus,540,540,Mon
341,1,Art,630,720,Mon
342,2,Economics,540,600,Tue
343,5,Physics,480,540,Fri
344,3,Philosophy,660,750,Wed
345,8,Calculus,660,750,Wed
346,7,Programming,540,630,Tue
347,9,Biology,570,660,Thu
348,4,Sociology,570,660,Thu
349,10,Chemistry,510,600,Fri
350,6,Literature,600,690,Mon
351,1,Mathematics,630,720,Mon
352,2,History,540,600,Tue
353,5,Philosophy,480,540,Fri
354,3,Art,660,750,Wed
355,8,Literature,660,750,Wed
356,7,Physics,540,630,Tue
357,9,Programming,570,660,Thu
358,4,Economics,570,660,Thu
359,10,Calculus,510,600,Fri
360,6,Sociology,600,690,Mon
361,1,Biology,630,720,Mon
362,2,Chemistry,540,600,Tue
363,5,Art,480,540,Fri
364,3,Mathematics,660,750,Wed
365,8,Sociology,660,750,Wed
366,7,Philosophy,540,630,Tue
367,9,Physics,570,660,Thu
368,4,History,570,660,Thu
369,10,Literature,510,600,Fri
370,6,Economics,600,690,Mon
371,1,Programming,630,720,Mon
372,2,Calculus,540,600,Tue
373,5,Mathematics,480,540,Fri
374,3,Biology,660,750,Wed
375,8,Economics,660,750,Wed
376,7,Art,540,630,Tue
377,9,Philosophy,570,660,Thu
378,4,Chemistry,570,660,Thu
379,10,Sociology,510,600,Fri
380,6,History,600,690,Mon
381,1,Physics,630,720,Mon
382,2,Literature,540,600,Tue
383,5,Biology,480,540,Fri
384,3,Programming,660,750,Wed
385,8,History,660,750,Wed
386,7,Mathematics,540,630,Tue
387,9,Art,570,660,Thu
388,4,Calculus,570,660,Thu
389,10,Economics,510,600,Fri
390,6,Chemistry,600,690,Mon
391,1,Philosophy,630,720,Mon
392,2,Sociology,540,600,Tue
393,5,Programming,480,540,Fri
394,3,Physics,660,750,Wed
395,8,Chemistry,660,750,Wed
396,7,Biology,540,630,Tue
397,9,Mathematics,570,660,Thu
398,4,Literature,570,660,Thu
399,10,History,510,600,Fri
400,6,Calculus,600,690,Mon
401,1,Art,1095,1185,Mon
402,2,Economics,933,993,Tue
403,5,Physics,868,928,Fri
404,3,Philosophy,1150,1240,Wed
405,8,Calculus,1146,1236,Wed
406,7,Programming,935,1025,Tue
407,9,Biology,979,1069,Thu
408,4,Sociology,983,1073,Thu
409,10,Chemistry,861,951,Fri
410,6,Literature,998,1088,Mon
411,1,Calculus,698,788,Mon
412,2,Physics,792,882,Tue
413,5,Chemistry,722,812,Fri
414,3,Literature,670,760,Wed
415,8,History,704,764,Wed
416,7,Mathematics,829,919,Tue
417,9,Art,893,983,Thu
418,4,Programming,865,955,Thu
419,10,Economics,686,746,Fri
420,6,Biology,716,806,Mon
421,1,Philosophy,823,913,Mon
422,2,Sociology,910,1000,Tue
423,5,Programming,758,848,Fri
424,3,Physics,791,881,Wed
425,8,History,801,861,Wed
426,7,Biology,570,1210,Tue
427,9,Mathematics,,828,Thu
428,4,Literature,881,971,Thu
429,10,History,855,,Fri
430,6,calculus,889,979,mon
431,1, CALCULUS,952,1042,Mon
432,2,Philosophy,890,980,tue
433,5,Programming,1174,1164,Fri
434,3,Sociology,860,950,wed
435,8,Mathematics,997,1087,Wed
436,7,Chemistry,948,1038,Tue
437,9,History,928,1018,Thu
438,4,Literature,789,1674,Thu
439,10,Art,900,990,Fri
440,6,Biology,839,839,Mon
441,1,Economics,1089,1179,Mon
442,2,Philosophy,936,996,Tue
443,5,Literature,880,940,Fri
444,3,Sociology,1162,1252,Wed
445,8,Biology,1157,1247,Wed
446,7,Calculus,935,1025,Tue
447,9,Chemistry,986,1076,Thu
448,4,Physics,983,1073,Thu
449,10,Mathematics,895,985,Fri
450,6,Programming,1011,1101,Mon
451,1,History,1092,1182,Mon
452,2,Art,932,992,Tue
453,5,Sociology,881,941,Fri
454,3,Economics,1155,1245,Wed
455,8,Programming,1160,1250,Wed
456,7,Literature,931,1021,Tue
457,9,Calculus,982,1072,Thu
458,4,Philosophy,984,1074,Thu
459,10,Biology,894,984,Fri
460,6,Physics,1009,1099,Mon
461,1,Chemistry,1089,1179,Mon
462,2,Mathematics,938,998,Tue
463,5,Economics,883,943,Fri
464,3,History,1157,1247,Wed
465,8,Physics,1158,1248,Wed
466,7,Sociology,933,1023,Tue
467,9,Literature,981,1071,Thu
468,4,Art,988,1078,Thu
469,10,Programming,898,988,Fri
470,6,Philosophy,1008,1098,Mon
471,1,Calculus,1095,1185,Mon
472,2,Biology,937,997,Tue
473,5,History,885,945,Fri
474,3,Chemistry,1155,1245,Wed
475,8,Philosophy,1158,1248,Wed
476,7,Economics,938,1028,Tue
477,9,Sociology,984,1074,Thu
478,4,Mathematics,986,1076,Thu
479,10,Physics,894,984,Fri
480,6,Art,1007,1097,Mon
481,1,Literature,1099,1189,Mon
482,2,Programming,933,993,Tue
483,5,Chemistry,882,942,Fri
484,3,Calculus,1159,1249,Wed
485,8,Art,1160,1250,Wed
486,7,History,937,1027,Tue
487,9,Economics,985,1075,Thu
488,4,Biology,983,1073,Thu
489,10,Philosophy,896,986,Fri
490,6,Mathematics,1011,1101,Mon
491,1,Sociology,1092,1182,Mon
492,2,Physics,937,997,Tue
493,5,Calculus,886,946,Fri
494,3,Literature,1160,1250,Wed
495,8,Mathematics,1158,1248,Wed
496,7,Chemistry,936,1026,Tue
497,9,History,983,1073,Thu
498,4,Programming,988,1078,Thu
499,10,Art,894,984,Fri
500,6,Biology,1010,1100,Mon
501,1,Economics,1097,1187,Mon
502,2,Philosophy,939,999,Tue
503,5,Literature,884,944,Fri
504,3,Sociology,1159,1249,Wed
505,8,Biology,1158,1248,Wed
506,7,Calculus,936,1026,Tue
507,9,Chemistry,984,1074,Thu
508,4,Physics,986,1076,Thu
509,10,Mathematics,894,984,Fri
510,6,Programming,1009,1099,Mon
511,1,Calculus,659,749,Mon
512,2,Physics,732,822,Tue
513,5,Chemistry,709,799,Fri
514,3,Literature,624,714,Wed
515,8,History,675,735,Wed
516,7,Mathematics,781,871,Tue
517,9,Art,847,937,Thu
518,4,Programming,811,901,Thu
519,10,Economics,647,707,Fri
520,6,Biology,680,770,Mon
521,1,Philosophy,784,874,Mon
522,2,Sociology,885,975,Tue
523,5,Programming,727,817,Fri
524,3,Physics,756,846,Wed
525,8,History,771,831,Wed
526,7,Biology,567,1217,Tue
527,9,Mathematics,,764,Thu
528,4,Literature,836,926,Thu
529,10,History,824,,Fri
530,6,calculus,867,957,mon
531,1, PROGRAMMING,920,1010,Mon
532,2,Philosophy,857,947,tue
533,5,Programming,1095,1090,Fri
534,3,Sociology,826,916,wed
535,8,Mathematics,962,1052,Wed
536,7,Chemistry,912,1002,Tue
537,9,History,888,978,Thu
538,4,Literature,760,1645,Thu
539,10,Art,870,960,Fri
540,6,Biology,821,821,Mon
541,1,Economics,1084,1174,Mon
542,2,Philosophy,935,995,Tue
543,5,Literature,878,938,Fri
544,3,Sociology,1157,1247,Wed
545,8,Biology,1156,1246,Wed
546,7,Calculus,937,1027,Tue
547,9,Chemistry,983,1073,Thu
548,4,Physics,981,1071,Thu
549,10,Mathematics,893,983,Fri
550,6,Programming,1007,1097,Mon
551,1,History,1090,1180,Mon
552,2,Art,936,996,Tue
553,5,Sociology,881,941,Fri
554,3,Economics,1162,1252,Wed
555,8,Programming,1160,1250,Wed
556,7,Literature,934,1024,Tue
557,9,Calculus,980,1070,Thu
558,4,Philosophy,982,1072,Thu
559,10,Biology,896,986,Fri
560,6,Physics,1013,1103,Mon
561,1,Chemistry,1090,1180,Mon
562,2,Mathematics,935,995,Tue
563,5,Economics,883,943,Fri
564,3,History,1156,1246,Wed
565,8,Physics,1158,1248,Wed
566,7,Sociology,931,1021,Tue
567,9,Literature,981,1071,Thu
568,4,Art,985,1075,Thu
569,10,Programming,895,985,Fri
570,6,Philosophy,1011,1101,Mon
571,1,Calculus,1086,1176,Mon
572,2,Biology,935,995,Tue
573,5,History,884,944,Fri
574,3,Chemistry,1156,1246,Wed
575,8,Philosophy,1159,1249,Wed
576,7,Economics,934,1024,Tue
577,9,Sociology,982,1072,Thu
578,4,Mathematics,983,1073,Thu
579,10,Physics,894,984,Fri
580,6,Art,1011,1101,Mon
581,1,Literature,1091,1181,Mon
582,2,Programming,937,997,Tue
583,5,Chemistry,885,945,Fri
584,3,Calculus,1162,1252,Wed
585,8,Art,1158,1248,Wed
586,7,History,932,1022,Tue
587,9,Economics,981,1071,Thu
588,4,Biology,984,1074,Thu
589,10,Philosophy,895,985,Fri
590,6,Mathematics,1010,1100,Mon
591,1,Sociology,1088,1178,Mon
592,2,Physics,933,993,Tue
593,5,Calculus,885,945,Fri
594,3,Literature,1163,1253,Wed
595,8,Mathematics,1158,1248,Wed
596,7,Chemistry,938,1028,Tue
597,9,History,983,1073,Thu
598,4,Programming,985,1075,Thu
599,10,Art,896,986,Fri
600,6,Biology,1011,1101,Mon
601,1,Economics,1088,1178,Mon
602,2,Philosophy,937,997,Tue
603,5,Literature,882,942,Fri
604,3,Sociology,1158,1248,Wed
605,8,Biology,1158,1248,Wed
606,7,Calculus,936,1026,Tue
607,9,Chemistry,983,1073,Thu
608,4,Physics,983,1073,Thu
609,10,Mathematics,895,985,Fri
610,6,Programming,1010,1100,Mon
611,1,Calculus,1462,2422,Mon
612,2,Physics,950,1040,Tue
613,5,Chemistry,821,911,Fri
614,3,Literature,792,882,Wed
615,8,History,829,889,Wed
616,7,Mathematics,1005,1095,Tue
617,9,Art,1094,1184,Thu
618,4,Programming,1069,1159,Thu
619,10,Economics,837,897,Fri
620,6,Biology,876,966,Mon
621,1,Philosophy,1004,1094,Mon
622,2,Sociology,1105,1195,Tue
623,5,Programming,928,1018,Fri
624,3,Physics,965,1055,Wed
625,8,History,959,1019,Wed
626,7,Biology,822,1457,Tue
627,9,Mathematics,,1061,Thu
628,4,Literature,1026,1116,Thu
629,10,History,1059,,Fri
630,6,calculus,1097,1187,mon
631,1, LITERATURE,1176,1266,Mon
632,2,Philosophy,1112,1202,tue
633,5,Programming,1437,1432,Fri
634,3,Sociology,1102,1192,wed
635,8,Mathematics,1310,1400,Wed
636,7,Chemistry,1247,1337,Tue
637,9,History,1204,1294,Thu
638,4,Literature,1116,1801,Thu
639,10,Art,1133,1223,Fri
640,6,Biology,1230,1230,Mon
641,1,Economics,1408,1498,Mon
642,2,Philosophy,1120,1180,Tue
643,5,Literature,1055,1115,Fri
644,3,Sociology,1387,1477,Wed
645,8,Biology,1371,1461,Wed
646,7,Calculus,1173,1263,Tue
647,9,Chemistry,1217,1307,Thu
648,4,Physics,1214,1304,Thu
649,10,Mathematics,1121,1211,Fri
650,6,Programming,1299,1389,Mon
651,1,History,1439,1529,Mon
652,2,Art,1140,1200,Tue
653,5,Sociology,1078,1138,Fri
654,3,Economics,1453,1543,Wed
655,8,Programming,1449,1539,Wed
656,7,Literature,1179,1269,Tue
657,9,Calculus,1209,1299,Thu
658,4,Philosophy,1205,1295,Thu
659,10,Biology,1128,1218,Fri
660,6,Physics,1317,1407,Mon
661,1,Chemistry,1430,1520,Mon
662,2,Mathematics,1145,1205,Tue
663,5,Economics,1080,1140,Fri
664,3,History,1456,1546,Wed
665,8,Physics,1457,1547,Wed
666,7,Sociology,1180,1270,Tue
667,9,Literature,1212,1302,Thu
668,4,Art,1210,1300,Thu
669,10,Programming,1127,1217,Fri
670,6,Philosophy,1323,1413,Mon
671,1,Calculus,1438,1528,Mon
672,2,Biology,1144,1204,Tue
673,5,History,1083,1143,Fri
674,3,Chemistry,1461,1551,Wed
675,8,Philosophy,1455,1545,Wed
676,7,Economics,1176,1266,Tue
677,9,Sociology,1213,1303,Thu
678,4,Mathematics,1211,1301,Thu
679,10,Physics,1124,1214,Fri
680,6,Art,1329,1419,Mon
681,1,Literature,1436,1526,Mon
682,2,Programming,1148,1208,Tue
683,5,Chemistry,1085,1145,Fri
684,3,Calculus,1460,1550,Wed
685,8,Art,1459,1549,Wed
686,7,History,1185,1275,Tue
687,9,Economics,1217,1307,Thu
688,4,Biology,1215,1305,Thu
689,10,Philosophy,1130,1220,Fri
690,6,Mathematics,1324,1414,Mon
691,1,Sociology,1434,1524,Mon
692,2,Physics,1150,1210,Tue
693,5,Calculus,1086,1146,Fri
694,3,Literature,1464,1554,Wed
695,8,Mathematics,1460,1550,Wed
696,7,Chemistry,1177,1267,Tue
697,9,History,1213,1303,Thu
698,4,Programming,1217,1307,Thu
699,10,Art,1135,1225,Fri
700,6,Biology,1323,1413,Mon
701,1,Economics,1441,1531,Mon
702,2,Philosophy,1152,1212,Tue
703,5,Literature,1080,1140,Fri
704,3,Sociology,1457,1547,Wed
705,8,Biology,1458,1548,Wed
706,7,Calculus,1176,1266,Tue
707,9,Chemistry,1209,1299,Thu
708,4,Physics,1210,1300,Thu
709,10,Mathematics,1129,1219,Fri
710,6,Programming,1321,1411,Mon
711,1,Calculus,824,914,Mon
712,2,Physics,929,1019,Tue
713,5,Chemistry,893,983,Fri
714,3,Literature,829,919,Wed
715,8,History,868,928,Wed
716,7,Mathematics,969,1059,Tue
717,9,Art,1057,1147,Thu
718,4,Programming,1021,1111,Thu
719,10,Economics,848,908,Fri
720,6,Biology,886,976,Mon
721,1,Philosophy,982,1072,Mon
722,2,Sociology,1052,1142,Tue
723,5,Programming,896,986,Fri
724,3,Physics,929,1019,Wed
725,8,History,923,983,Wed
726,7,Biology,811,1453,Tue
727,9,Mathematics,,984,Thu
728,4,Literature,1013,1103,Thu
729,10,History,1005,,Fri
730,6,calculus,1073,1163,mon
731,1, BIOLOGY,1143,1233,Mon
732,2,Philosophy,1078,1168,tue
733,5,Programming,1468,1463,Fri
734,3,Sociology,1068,1158,wed
735,8,Mathematics,1280,1370,Wed
736,7,Chemistry,1221,1311,Tue
737,9,History,1194,1284,Thu
738,4,Literature,1096,1771,Thu
739,10,Art,1128,1218,Fri
740,6,Biology,1202,1202,Mon
741,1,Economics,1414,1504,Mon
742,2,Philosophy,1126,1186,Tue
743,5,Literature,1070,1130,Fri
744,3,Sociology,1397,1487,Wed
745,8,Biology,1385,1475,Wed
746,7,Calculus,1185,1275,Tue
747,9,Chemistry,1219,1309,Thu
748,4,Physics,1224,1314,Thu
749,10,Mathematics,1135,1225,Fri
750,6,Programming,1307,1397,Mon
751,1,History,1442,1532,Mon
752,2,Art,1146,1206,Tue
753,5,Sociology,1085,1145,Fri
754,3,Economics,1464,1554,Wed
755,8,Programming,1461,1551,Wed
756,7,Literature,1187,1277,Tue
757,9,Calculus,1215,1305,Thu
758,4,Philosophy,1224,1314,Thu
759,10,Biology,1134,1224,Fri
760,6,Physics,1315,1405,Mon
761,11,Chemistry,1436,1526,Mon
762,2,Mathematics,1155,1215,Tue
763,5,Economics,1089,1149,Fri
764,3,History,1458,1548,Wed
765,8,Physics,1459,1549,Wed
766,7,Sociology,1187,1277,Tue
767,9,Literature,1220,1310,Thu
768,4,Art,1225,1315,Thu
769,10,Programming,1130,1220,Fri
770,6,Philosophy,1326,1416,Mon
771,1,Calculus,1431,1521,Mon
772,22,Biology,1145,1205,Tue
773,5,History,1085,1145,Fri
774,3,Chemistry,1465,1555,Wed
775,8,Philosophy,1464,1554,Wed
776,7,Economics,1189,1279,Tue
777,9,Sociology,1220,1310,Thu
778,4,Mathematics,1223,1313,Thu
779,10,Physics,1133,1223,Fri
780,6,Art,1322,1412,Mon
781,1,Literature,1439,1529,Mon
782,2,Programming,1149,1209,Tue
783,5,Chemistry,1090,1150,Fri
784,3,Calculus,1463,1553,Wed
785,8,Art,1462,1552,Wed
786,7,History,1184,1274,Tue
787,9,Economics,1220,1310,Thu
788,4,Biology,1224,1314,Thu
789,10,Philosophy,1135,1225,Fri
790,6,Mathematics,1329,1419,Mon
791,1,Sociology,1442,1532,Mon
792,2,Physics,1147,1207,Tue
793,5,Calculus,1087,1147,Fri
794,3,Literature,1465,1555,Wed
795,8,Mathematics,1460,1550,Wed
796,7,Chemistry,1185,1275,Tue
797,9,History,1222,1312,Thu
798,4,Programming,1225,1315,Thu
799,10,Art,1132,1222,Fri
800,6,Biology,1324,1414,Mon
801,1,Economics,1440,1530,Mon
802,2,Philosophy,1152,1212,Tue
803,5,Literature,1088,1148,Fri
804,3,Sociology,1465,1555,Wed
805,8,Biology,1463,1553,Wed
806,7,Calculus,1186,1276,Tue
807,9,Chemistry,1223,1313,Thu
808,4,Physics,1221,1311,Thu
809,10,Mathematics,1137,1227,Fri
810,6,Programming,1323,1413,Mon
811,1,Calculus,826,916,Mon
812,2,Physics,933,1023,Tue
813,5,Chemistry,898,988,Fri
814,13,Literature,836,926,Wed
815,8,History,873,933,Wed
816,7,Mathematics,977,1067,Tue
817,9,Art,1062,1152,Thu
818,4,Programming,1028,1118,Thu
819,10,Economics,847,907,Fri
